scale,region,lon,lat,qdgc,hdgc,dgc,is_PC1_outlier,is_MV_outlier
QDS,GCFR,17.875,-29.625,E017S29DB,E017S29D,E017S29,*, 
QDS,GCFR,18.875,-32.125,E018S32BB,E018S32B,E018S32,*,*
QDS,GCFR,18.625,-33.625,E018S33DA,E018S33D,E018S33, ,*
QDS,GCFR,18.875,-33.625,E018S33DB,E018S33D,E018S33,*,*
QDS,GCFR,18.625,-33.875,E018S33DC,E018S33D,E018S33,*,*
QDS,GCFR,18.875,-33.875,E018S33DD,E018S33D,E018S33,*,*
QDS,GCFR,18.875,-34.125,E018S34BB,E018S34B,E018S34,*,*
QDS,GCFR,19.125,-31.375,E019S31AC,E019S31A,E019S31,*,*
QDS,GCFR,19.125,-32.125,E019S32AA,E019S32A,E019S32,*,*
QDS,GCFR,19.125,-32.375,E019S32AC,E019S32A,E019S32,*,*
QDS,GCFR,19.125,-33.125,E019S33AA,E019S33A,E019S33,*, 
QDS,GCFR,19.125,-33.375,E019S33AC,E019S33A,E019S33,*,*
QDS,GCFR,19.375,-33.375,E019S33AD,E019S33A,E019S33,*,*
QDS,GCFR,19.125,-33.625,E019S33CA,E019S33C,E019S33,*,*
QDS,GCFR,19.375,-33.625,E019S33CB,E019S33C,E019S33,*,*
QDS,GCFR,19.125,-33.875,E019S33CC,E019S33C,E019S33,*,*
QDS,GCFR,19.125,-34.125,E019S34AA,E019S34A,E019S34,*,*
QDS,GCFR,19.375,-34.125,E019S34AB,E019S34A,E019S34,*,*
QDS,GCFR,19.125,-34.375,E019S34AC,E019S34A,E019S34,*,*
QDS,GCFR,19.375,-34.375,E019S34AD,E019S34A,E019S34,*,*
QDS,GCFR,19.625,-34.625,E019S34DA,E019S34D,E019S34, ,*
QDS,GCFR,20.375,-34.375,E020S34AD,E020S34A,E020S34, ,*
QDS,GCFR,20.125,-34.625,E020S34CA,E020S34C,E020S34,*,*
QDS,GCFR,21.375,-34.125,E021S34AB,E021S34A,E021S34,*,*
QDS,GCFR,21.375,-34.375,E021S34AD,E021S34A,E021S34,*,*
QDS,GCFR,25.625,-33.375,E025S33BC,E025S33B,E025S33,*, 
QDS,GCFR,25.125,-33.875,E025S33CC,E025S33C,E025S33,*, 
QDS,GCFR,25.625,-33.875,E025S33DC,E025S33D,E025S33,*,*
QDS,GCFR,26.625,-33.375,E026S33BC,E026S33B,E026S33,*,*
QDS,SWAFR,114.625,-28.625,E114S28DA,E114S28D,E114S28,*, 
QDS,SWAFR,115.375,-30.125,E115S30AB,E115S30A,E115S30,*,*
QDS,SWAFR,115.125,-30.375,E115S30AC,E115S30A,E115S30,*,*
QDS,SWAFR,115.875,-31.875,E115S31DD,E115S31D,E115S31,*,*
QDS,SWAFR,115.875,-32.125,E115S32BB,E115S32B,E115S32,*,*
QDS,SWAFR,115.625,-33.375,E115S33BC,E115S33B,E115S33, ,*
QDS,SWAFR,115.125,-33.625,E115S33CA,E115S33C,E115S33,*,*
QDS,SWAFR,115.375,-33.625,E115S33CB,E115S33C,E115S33,*,*
QDS,SWAFR,116.625,-30.875,E116S30DC,E116S30D,E116S30,*,*
QDS,SWAFR,116.125,-31.875,E116S31CC,E116S31C,E116S31,*,*
QDS,SWAFR,116.125,-32.125,E116S32AA,E116S32A,E116S32,*,*
QDS,SWAFR,117.625,-34.375,E117S34BC,E117S34B,E117S34,*,*
QDS,SWAFR,117.875,-34.625,E117S34DB,E117S34D,E117S34,*, 
QDS,SWAFR,117.875,-34.875,E117S34DD,E117S34D,E117S34,*, 
QDS,SWAFR,118.125,-34.375,E118S34AC,E118S34A,E118S34, ,*
QDS,SWAFR,120.125,-33.625,E120S33CA,E120S33C,E120S33,*,*
QDS,SWAFR,120.125,-33.875,E120S33CC,E120S33C,E120S33, ,*
QDS,SWAFR,121.875,-33.875,E121S33DD,E121S33D,E121S33, ,*
HDS,GCFR,18.75,-33.75, ,E018S33D,E018S33,*,*
HDS,GCFR,18.75,-34.25, ,E018S34B,E018S34,*,*
HDS,GCFR,19.25,-33.25, ,E019S33A,E019S33,*,*
HDS,GCFR,19.25,-33.75, ,E019S33C,E019S33,*,*
HDS,GCFR,19.25,-34.25, ,E019S34A,E019S34,*,*
HDS,GCFR,19.75,-34.25, ,E019S34B,E019S34,*,*
HDS,GCFR,21.25,-34.25, ,E021S34A,E021S34, ,*
HDS,SWAFR,115.75,-32.25, ,E115S32B,E115S32,*, 
HDS,SWAFR,115.25,-34.25, ,E115S34A,E115S34, ,*
DS,GCFR,19.5,-33.5, , ,E019S33,*, 
