response,term,estimate,p.value,conf.low,conf.high,adj.r.squared
QDS_richness,Elevation,39.23558008471226,0.002469058146450211,13.86969986805888,64.60146030136565,0.273413840422977
QDS_richness,MAP,140.8617018426337,1.2913221702324303e-10,98.36467822541468,183.3587254598527,0.273413840422977
QDS_richness,PDQ,-36.76059020319033,0.029542621108724333,-69.86064424775026,-3.660536158630407,0.273413840422977
QDS_richness,NDVI,112.01072490127319,3.325468486344336e-11,79.27793268823439,144.743517114312,0.273413840422977
QDS_richness,CEC,-28.009642597397253,0.0041285481707453746,-47.12643925538424,-8.892845939410261,0.273413840422977
QDS_richness,Clay,30.732324807143286,0.001944220901454186,11.324769240260611,50.139880374025964,0.273413840422977
QDS_richness,pH,-51.56333403155693,0.0037364124573249302,-86.37247535788362,-16.75419270523024,0.273413840422977
QDS_richness,regionSWAFR,106.45532475574406,4.849559744082079e-5,55.28177904028132,157.6288704712068,0.273413840422977
QDS_richness,MAP:regionSWAFR,-54.39787592813611,0.028361991964667214,-103.0188445108623,-5.776907345409931,0.273413840422977
QDS_richness,PDQ:regionSWAFR,124.60869544414412,3.1922846839863296e-7,77.12976275761407,172.08762813067415,0.273413840422977
QDS_richness,NDVI:regionSWAFR,-93.34037879009126,1.8677393934274375e-5,-135.90891601481482,-50.7718415653677,0.273413840422977
QDS_richness,pH:regionSWAFR,54.418258473751116,0.011137955679522618,12.430276265260567,96.40624068224167,0.273413840422977
HDS_richness,Elevation,105.05394631644027,0.02224935811314913,15.150500184454543,194.957392448426,0.42653297149921787
HDS_richness,MAP,379.43798716491864,3.997731805558241e-7,236.92628282117414,521.9496915086631,0.42653297149921787
HDS_richness,PDQ,73.25051562979237,0.0875887387958971,-10.89543549761774,157.3964667572025,0.42653297149921787
HDS_richness,Surface_T,-124.39227194882234,0.06574298780331816,-256.9616520693086,8.177108171663932,0.42653297149921787
HDS_richness,NDVI,132.19160083459658,0.0019788986541098273,49.06567166970579,215.31752999948736,0.42653297149921787
HDS_richness,Clay,87.0777057612807,0.005590653381589507,25.794389286797617,148.36102223576378,0.42653297149921787
HDS_richness,Soil_C,184.47320251512937,0.02989146392402235,18.16387045622747,350.7825345740313,0.42653297149921787
HDS_richness,pH,-385.5384601804574,9.199367451977668e-6,-552.3760033255462,-218.70091703536855,0.42653297149921787
HDS_richness,regionSWAFR,73.445333714626,0.4657801803566173,-124.77950451044555,271.6701719396975,0.42653297149921787
HDS_richness,MAP:regionSWAFR,-279.4554514886981,6.105358399257261e-4,-437.62690780644135,-121.28399517095482,0.42653297149921787
HDS_richness,Surface_T:regionSWAFR,136.63790143648714,0.10207152650705749,-27.420177289215218,300.69598016218947,0.42653297149921787
HDS_richness,Soil_C:regionSWAFR,-209.8876238805986,0.02673779692375738,-395.32097215330896,-24.454275607888206,0.42653297149921787
HDS_richness,pH:regionSWAFR,337.0132531267527,2.4899776343908597e-4,158.969711869439,515.0567943840664,0.42653297149921787
DS_richness,Elevation,-4083.764487015936,0.001100771844619995,-6264.7824786012625,-1902.7464954306092,0.8500336487558477
DS_richness,PDQ,-2430.040364133538,3.019612494732807e-5,-3326.922551447559,-1533.158176819517,0.8500336487558477
DS_richness,Surface_T,1098.706022041974,0.005583670766855156,370.73010017792615,1826.6819439060218,0.8500336487558477
DS_richness,NDVI,2321.2085808037386,0.002063430326280848,980.9079510044378,3661.5092106030397,0.8500336487558477
DS_richness,CEC,-1413.3228164451168,0.014112282276241598,-2501.1643282144264,-325.4813046758072,0.8500336487558477
DS_richness,Clay,1071.3236612508963,1.1023166386895863e-5,709.5302662888901,1433.1170562129025,0.8500336487558477
DS_richness,Soil_C,916.0788024030811,0.01889437887588761,172.44235370223385,1659.7152511039285,0.8500336487558477
DS_richness,pH,-3340.902000889545,2.313844208295217e-4,-4841.544385189649,-1840.2596165894408,0.8500336487558477
DS_richness,regionSWAFR,-8502.65496080687,3.9214965585421165e-4,-12541.022600650289,-4464.287320963452,0.8500336487558477
DS_richness,Elevation:regionSWAFR,4211.272361396369,8.80420327533191e-4,2020.8183447172032,6401.726378075535,0.8500336487558477
DS_richness,PDQ:regionSWAFR,2497.1634716051894,3.0843997718773534e-5,1573.7344854758207,3420.592457734558,0.8500336487558477
DS_richness,Surface_T:regionSWAFR,-1008.4947781759729,0.011554816050122619,-1758.3523186599314,-258.6372376920143,0.8500336487558477
DS_richness,NDVI:regionSWAFR,-2166.56901489,0.0040713735345375484,-3537.7850763015167,-795.352953478483,0.8500336487558477
DS_richness,CEC:regionSWAFR,1285.9405118527145,0.024292591555073073,189.88907105967496,2381.9919526457543,0.8500336487558477
DS_richness,Clay:regionSWAFR,-960.3186342873718,8.356835622197178e-5,-1350.0300354851042,-570.6072330896393,0.8500336487558477
DS_richness,Soil_C:regionSWAFR,-971.6885102512047,0.0179161273111655,-1752.6561448445887,-190.72087565782056,0.8500336487558477
DS_richness,pH:regionSWAFR,3459.1721857903963,1.904122376724214e-4,1936.2017869530268,4982.142584627765,0.8500336487558477
